Names of products,Exceptions,Tropical,Product code,Nomenclature,Code,Description,unit,calculateAggregate?
WRAPPING PAPERS,,,10.3.3,HS07,480429,"Name: Sack kraft paper, uncoated, other than unbleached, in rolls/sheets (excl. of 48.02/48.03) Description: -- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480429,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Sack kraft paper : // -- Other
Description: -- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480431,"Name: Paper, kraft, <150g/m2, unbleached, uncoated, nes Description: Other kraft paper and paperboard weighing 150 g/m2 or less :-- Unbleached",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480431,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, u ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing 150g/m2/less",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480431,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing 150g/m2/less Description: -- Unbleached",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480431,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing 150 g/m² or less : // -- Un",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480439,"Name: Paper, kraft, <150g/m2, uncoated, nes Description: Other kraft paper and paperboard weighing 150 g/m2 or less :-- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480439,"Name: Kraft paper (excl. kraftliner & sack craft paper) & paperboard, uncoated, i ... Description: Kraft paper (excl. kraftliner & sack craft paper) & paperboard, uncoated, in rolls/sheets, weighing 150g/m2/less",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480439,"Name: Kraft paper (excl. kraftliner & sack craft paper) & paperboard, uncoated, in rolls/sheets, weighing 150g/m2/less Description: -- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480439,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing 150 g/m² or less : // -- Ot",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480441,"Name: Paper, kraft, 150-225 g/m2, unbleached,uncoated nes Description: Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Unbleached",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,480441,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing >150g/m2 but <225g/m2 Description: -- Unbleached",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,480441,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing more than 150 g/m² but less",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,480441,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, u ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing >150g/m2 but <225g/m2",000 kg,
CARTONBOARD,,,10.3.2,HS96,480442,"Name: Paper, kraft, 150-225 g/m2, chem pulp not bleach/coat Description: Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibr",000 kg,
CARTONBOARD,,,10.3.2,HS02,480442,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, b ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, bleached uniformly..., in rolls/sheets...weighing >150g/m2 but <225g/m2 [see compl",000 kg,
CARTONBOARD,,,10.3.2,HS07,480442,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard weighing more than 150 g/m² but less than 225 g/m² ,bleached uniformly throughout the mass & of which more than 95% by weight of the total fibre content consists of wood obtained by a ch",000 kg,
CARTONBOARD,,,10.3.2,HS12,480442,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing more than 150 g/m² but less",000 kg,
CARTONBOARD,,,10.3.2,HS96,480449,"Name: Paper, kraft, 150-225 g/m2, uncoated, nes Description: Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Other",000 kg,
CARTONBOARD,,,10.3.2,HS02,480449,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, i ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, in rolls/sheets, weighing >150g/m2 but <225g/m2",000 kg,
CARTONBOARD,,,10.3.2,HS07,480449,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, in rolls/sheets, weighing >150g/m2 but <225g/m2 Description: -- Other",000 kg,
CARTONBOARD,,,10.3.2,HS12,480449,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing more than 150 g/m² but less",000 kg,
CARTONBOARD,,,10.3.2,HS96,480451,"Name: Paper, kraft, >225g/m2, unbleached, uncoated, nes Description: Other kraft paper and paperboard weighing 225 g/m2 or more :-- Unbleached",000 kg,
CARTONBOARD,,,10.3.2,HS02,480451,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, u ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing 225g/m2/more",000 kg,
CARTONBOARD,,,10.3.2,HS07,480451,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, unbleached, in rolls/sheets, weighing 225g/m2/more Description: -- Unbleached",000 kg,
CARTONBOARD,,,10.3.2,HS12,480451,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing 225 g/m² or more : // -- Un",000 kg,
CARTONBOARD,,,10.3.2,HS96,480452,"Name: Paper, kraft, >225g/m2,chemical pulp,bleached,uncoated Description: Other kraft paper and paperboard weighing 225 g/m2 or more :-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wo",000 kg,
CARTONBOARD,,,10.3.2,HS02,480452,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, b ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, bleached uniformly throughout the mass...in rolls/sheets, weighing 225g/m2/more [s",000 kg,
CARTONBOARD,,,10.3.2,HS07,480452,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard weighing more than 225 g/m² ,bleached uniformly throughout the mass & of which more than 95% by weight of the total fibre content consists of wood obtained by a chemical process, in roll",000 kg,
CARTONBOARD,,,10.3.2,HS12,480452,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing 225 g/m² or more : // -- Bl",000 kg,
CARTONBOARD,,,10.3.2,HS96,480459,"Name: Paper, kraft, >225g/m2, uncoated, nes Description: Other kraft paper and paperboard weighing 225 g/m2 or more :-- Other",000 kg,
CARTONBOARD,,,10.3.2,HS02,480459,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, i ... Description: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, in rolls/sheets, weighing 225g/m2/more (excl. of 4804.51 & 4805.52)",000 kg,
CARTONBOARD,,,10.3.2,HS07,480459,"Name: Kraft paper (excl. kraftliner & sack kraft paper) & paperboard, uncoated, in rolls/sheets, weighing 225g/m2/more (excl. of 4804.51 & 4805.52) Description: -- Other",000 kg,
CARTONBOARD,,,10.3.2,HS12,480459,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 48.02 or 48.03. // - Other kraft paper and paperboard weighing 225 g/m² or more : // -- Ot",000 kg,
CASE MATERIALS,,,10.3.1,HS96,480510,"Name: Paper, fluting, in rolls, semi-chemical, uncoated Description: Semi-chemical fluting paper (corrugating medium)",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480511,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Fluting paper : // -- Semi-chemical",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480511,"Name: Semi-chem.fluting paper,uncoated, in rolls/sheets, not further worked than/ ... Description: Semi-chem.fluting paper,uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480511,"Name: Semi-chemicalfluting paper,uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: -- Semi-chemical fluting paper",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480512,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Fluting paper : // -- Straw fluting",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480512,"Name: Straw fluting paper, uncoated, in rolls/sheets, not further worked than/fur ... Description: Straw fluting paper, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480512,"Name: Straw fluting paper, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: -- Straw fluting paper",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480519,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Fluting paper : // -- Other
Descrip",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480519,"Name: Fluting paper (excl. semi-chem./straw fluting paper), uncoated, in rolls/sh ... Description: Fluting paper (excl. semi-chem./straw fluting paper), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480519,"Name: Fluting paper (excl. semi-chemical/straw fluting paper), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: -- Other",000 kg,
CARTONBOARD,,,10.3.2,HS96,480521,"Name: Paper, multi-ply, each layer bleached, uncoated, nes Description: Multi-ply paper and paperboard :-- Each layer bleached",000 kg,
CARTONBOARD,,,10.3.2,HS96,480522,"Name: Paper, multi-ply, one layer bleached, uncoated Description: Multi-ply paper and paperboard :-- With only one outer layer bleached",000 kg,
CARTONBOARD,,,10.3.2,HS96,480523,"Name: Paper, multi-ply, <4 layers, outer bleached, uncoated Description: Multi-ply paper and paperboard :-- Having three or more layers, of which only the two outer layers are bleached",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480524,"Name: Testliner (recycled liner board), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing 150g/m2/less Description: -- Weighing 150 g/m² or less",000 kg,
